AdNumber,AdDescription,BoxNumber,ExtraBox,StartDate,EndDate,Assoc,PLU,PLUDescription,OffAdPrice,OnAdPrice,InstantSavings,Promo,Rebate,NetPrice,TotalSavings,Leader,LeaderName,CostAfterMP46,MP46,GPDollar,GPPercent,CoInv,Inv48,PendingInv,MPFROST7Day,MPFROST28Day,Day1AdSales,ProjUnits,ProjSales,ProjGPDollar,Limit,InstoreOnly,TrustNameBran,SomeOBSomeD,MapPrice,MinMapPrice,GiftCardPromo,HasMP38,ProjGPPercent,ActualGPPerc,DiffUnits,DiffSales,DiffGPDollar,ActualUnits,ActualSales,ActualGPDollar
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),8, ,6/24/2018,6/30/2018,176010,8839212,LG WM3270CW              ,599,599,0,50,0,549,0.08347245305776596,764,Lowes,492,134,87,0.158469945192337,65,0,1,1.109824657440186,4.439298629760742,2.5746750831604,10,5490,870,0,2,0,0,764.0999755859375,0,0, ,0.158469945192337,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),8,Y,6/24/2018,6/30/2018,176010,8367407,LG DLG3171W              ,699,699,0,50,0,649,0.07153075933456421,698,Home Depot,573,126,106,0.1633282005786896,85,0,0,0.2468834966421127,0.9875339865684509,0.7142857313156128,5,3245,530,0,2,0,0,764.0999755859375,0,0,,0.1633282005786896,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),8,Y,6/24/2018,6/30/2018,176010,8367377,LG DLE3170W              ,599,599,0,50,0,549,0.08347245305776596,598,Home Depot,492,134,87,0.158469945192337,61,0,0,0.969352662563324,3.877410650253296,0.6428723931312561,5,2745,435,0,2,0,0,764.0999755859375,0,0,,0.158469945192337,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),9, ,6/24/2018,6/30/2018,176010,9451521,Samsung WF45N5300AV/US   ,649,649,0,50,0,599,0.07704160362482071,698,Home Depot,549.3800048828125,180.6999969482422,89.6199951171875,0.1496160179376602,82,0,17,0.6454134583473206,2.581653833389282,2.773809432983398,10,5990,896.199951171875,0,2,0,0,899,0,0, ,0.1496160179376602,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),9,Y,6/24/2018,6/30/2018,176010,9451501,Samsung DVG45N5300V/A3   ,749,749,0,50,0,699,0.06675567477941513,748,Home Depot,629.52001953125,173.5500030517578,109.47998046875,0.1566237211227417,33,0,1,0.5628489255905151,2.251395702362061,0.7188234925270081,5,3495,547.39990234375,0,2,0,0,899,0,0,,0.1566237211227417,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),9,Y,6/24/2018,6/30/2018,176010,9451511,Samsung DVE45N5300V/A3   ,649,649,0,50,0,599,0.07704160362482071,648,Home Depot,549.3800048828125,180.6999969482422,89.6199951171875,0.1496160179376602,67,0,13,0.07356128841638565,0.2942451536655426,1.632499814033508,5,2995,448.0999755859375,0,2,0,0,899,0,0,,0.1496160179376602,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),10, ,6/24/2018,6/30/2018,176010,8839142,LG WM4370HKA             ,899,899,0,50,0,849,0.05561735108494759,879.989990234375,Costco,706,176,163,0.1919905841350555,111,0,1,0.6500365138053894,2.600146055221558,2.403860092163086,10,8490,1630,0,2,0,0,1124.099975585938,0,0, ,0.1919905841350555,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),10,Y,6/24/2018,6/30/2018,176010,8954963,LG DLEX4370K             ,899,899,0,50,0,849,0.05561735108494759,898,Home Depot,706,176,163,0.1919905841350555,50,0,1,0.2536092698574066,1.014437079429627,1.117036938667297,5,4245,815,0,2,0,0,1124.099975585938,0,0,,0.1919905841350555,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),10,Y,6/24/2018,6/30/2018,176010,8954933,LG DLGX4371K             ,999,999,0,50,0,949,0.0500500500202179,998,Home Depot,784,168,185,0.1949420422315598,42,0,1,0.1552161127328873,0.6208644509315491,0.8792683482170105,5,4745,925,0,2,0,0,1124.099975585938,0,0,,0.1949420422315598,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),11, ,6/24/2018,6/30/2018,176010,8839092,LG WM8100HVA             ,999,999,0,50,0,949,0.0500500500202179,998,Home Depot,774,271,195,0.2054794579744339,71,0,6,0.5787427425384522,2.314970970153809,0.4285714328289032,10,9490,1950,0,2,0,0,1349,0,0, ,0.2054794579744339,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),11,Y,6/24/2018,6/30/2018,176010,8838652,LG DLEX8100V             ,999,999,0,50,0,949,0.0500500500202179,999.989990234375,BestBuyUS,774,271,195,0.2054794579744339,45,0,7,0.3006373345851898,1.202549338340759,0.5714285969734192,5,4745,975,0,2,0,0,1349,0,0,,0.2054794579744339,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),11,Y,6/24/2018,6/30/2018,176010,8838312,LG DLGX8101V             ,1099,1099,0,50,0,1049,0.04549590498209,1098,Home Depot,851,263,218,0.2078169733285904,24,0,1,0,0,0,5,5245,1090,0,2,0,0,1349,0,0,,0.2078169733285904,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),12, ,6/24/2018,6/30/2018,176010,9429811,KitchenAid KDPE234GPS    ,649,649,0,50,0,599,0.07704160362482071,648,Home Depot,579.4099731445313,114.5899963378906,59.59002685546875,0.09948251396417618,66,0,3,0,0,0.9523809552192688,5,2995,297.9501342773438,0,2,0,0,854.0999755859375,0,0, ,0.09948251396417618,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),13, ,6/24/2018,6/30/2018,176010,8042944,SAMSUNG NX58H5600SS      ,629,629,0,30,0,599,0.04769475385546684,588,Home Depot,534.1500244140625,122.8499984741211,84.8499755859375,0.1416527181863785,80,0,3,0.05722222104668617,0.2288888841867447,3.028652429580689,5,2995,424.2498779296875,0,2,0,0,799,0,0, ,0.1416527181863785,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),14, ,6/24/2018,6/30/2018,176010,9091547,BS Windsor FM Foam Twin  ,229,179,50,0,0,179,0.2183406054973602,229,Frys,114,0,65,0.3631284832954407,158,0,0,0.3580695390701294,1.432278156280518,1.285714626312256,10,1790,650,0,2,0,0,0,0,0, ,0.3631284832954407,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),14,Y,6/24/2018,6/30/2018,176010,9091407,BS Standard Box Twin     ,90,69,21,0,0,69,0.2333333343267441,90,Frys,45,0,24,0.3478260934352875,59,0,1,0.5564194321632385,2.225677728652954,0.3061224818229675,2,138,48,0,2,0,0,0,0,0,,0.3478260934352875,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),15, ,6/24/2018,6/30/2018,176010,9091717,BRS Harper Ex Firm Q     ,649,449,200,0,0,449,0.3081664144992828,649,Frys,344,0,105,0.2338530123233795,119,0,3,0.6205486655235291,2.482194662094116,0.8571427464485169,10,4490,1050,0,2,0,0,0,0,0, ,0.2338530123233795,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),15,Y,6/24/2018,6/30/2018,176010,9090447,BRS Standard Box Queen   ,99,99,0,0,0,99,0,99,Frys,75,0,24,0.2424242496490479,128,0,0,2.180542469024658,8.722169876098633,0.3333333432674408,2,198,48,0,2,0,0,0,0,0,,0.2424242496490479,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),16, ,6/24/2018,6/30/2018,176010,9402271,BeautySleep Matt LFPT    ,699,499,200,0,0,499,0.2861230373382568,699,Frys,355,0,144,0.2885771691799164,130,0,8,0.3935089707374573,1.574035882949829,1.336734652519226,10,4990,1440,0,2,0,0,0,0,0, ,0.2885771691799164,0,0,0,0,0,0,0
463455,Email PrC3 Mjr Aplnce & Mttrss Su(Fr-Sa),16,Y,6/24/2018,6/30/2018,176010,9402071,BS Standard Box Cal King ,100,79,21,0,0,79,0.2099999934434891,100,Frys,50,0,29,0.3670886158943176,93,0,0,2.095472574234009,8.381890296936035,0.999381422996521,2,158,58,0,2,0,0,0,0,0,,0.3670886158943176,0,0,0,0,0,0,0
